index,skill_name,original_name,category,tier,cost,selected_in_excel,does_not_modify_current_calcs,description,cell_icon,cell_name,source_media_path,extracted_filename,width,height
158,Composting Revamp,Composting Revamp - X,Compost,Tier 3,3,0,True,"+5 fertilisers, -3 Worms",J135,K135,xl/media/image179.png,icons/158_Composting_Revamp.png,63,61
159,Cheap Rakes,Cheap Rakes,Aging,Tier 1,1,0,False,-20% salt rake coin cost,,,,icons/159_Cheap_Rakes.png,,
160,Speedy Aging,Speedy Aging,Aging,Tier 1,1,0,False,-10% Fish Aging time,,,,icons/160_Speedy_Aging.png,,
161,Salty Seas,Salty Seas,Aging,Tier 1,1,0,False,-10% salt charge replenishment time,,,,icons/161_Salty_Seas.png,,
162,Wide Rakes,Wide Rakes,Aging,Tier 1,1,0,False,+2 Salt per harvest,,,,icons/162_Wide_Rakes.png,,
163,Bacalhau,Bacalhau,Aging,Tier 1,1,0,False,+1 Bait yield from fermentation rack,,,,icons/163_Bacalhau.png,,
164,Fish Smoking,Fish Smoking,Aging,Tier 2,2,0,False,Doubled chance Aged Fish becomes Prime Aged,,,,icons/164_Fish_Smoking.png,,
165,Refiner,Refiner,Aging,Tier 2,2,0,False,15% chance of +1 Refined Salt when making Refined Salt,,,,icons/165_Refiner.png,,
168,Sea Blessed,Sea Blessed,Aging,Tier 2,2,0,False,5% chance to restore 1 charge to 4 Salt hodes on harvest,,,,icons/168_Sea_Blessed.png,,
169,Ager,Ager,Aging,Tier 3,3,0,False,"2x output from Aging Shed Racks | 2x Aging Shed inputs (ingredients, fish & salt)",,,,icons/169_Ager.png,,
170,Salt Surge,Salt Surge,Aging,Tier 3,3,0,False,Recharge all Salt hodes to max,,,,icons/170_Salt_Surge.png,,
